poet,rank,neighbor,similarity
ابن زرعة الباهلي,1,معقر بن حمار البارقي,0.9937658309936523
ابن زرعة الباهلي,2,حاجز الأزدي,0.9929139614105225
ابن زرعة الباهلي,3,ابن المضلَّل,0.9923619627952576
ابن زرعة الباهلي,4,بيهس الغطفاني,0.9922587871551514
ابن زرعة الباهلي,5,الأعسر الضبي,0.9920545220375061
ابن شعواء الفزاري,1,جبار الفزاري,0.9982303380966187
ابن شعواء الفزاري,2,الأشعث الجاشي,0.9976508617401123
ابن شعواء الفزاري,3,هند الفزارية,0.9953360557556152
ابن شعواء الفزاري,4,نهيكة الفزاري,0.9952520132064819
ابن شعواء الفزاري,5,امرؤ القيس الزهيري,0.9947152137756348
ابن عليق الطائي,1,حاجز الأزدي,0.9883393049240112
ابن عليق الطائي,2,محرز الضبي,0.9871041774749756
ابن عليق الطائي,3,امرؤ القيس,0.9858323335647583
ابن عليق الطائي,4,معقر بن حمار البارقي,0.9852088093757629
ابن عليق الطائي,5,البراق,0.9845712780952454
ابن عمرو الكندي,1,الأعسر الضبي,0.9762413501739502
ابن عمرو الكندي,2,المرقش الأصغر,0.9737055897712708
ابن عمرو الكندي,3,امرؤ القيس السكوني,0.9736201167106628
ابن عمرو الكندي,4,الحارث بن صريم الوادعي,0.9732284545898438
ابن عمرو الكندي,5,المرقش الأكبر,0.9727787971496582
ابن فكهة,1,الأسود النهشلي,0.8932757377624512
ابن فكهة,2,ضمرة بن ضمرة,0.8754376173019409
ابن فكهة,3,أعشى باهلة,0.8673157691955566
ابن فكهة,4,الربيع بن أبي الحقيق,0.857978880405426
ابن فكهة,5,الربيع بن زياد العبسي,0.8557150363922119
ابن كلاب العقيلي,1,أبو حسان الفزاري,0.9999995231628418
ابن كلاب العقيلي,2,النابغة التغلبي,0.9998757839202881
ابن كلاب العقيلي,3,المعان بن روق,0.9993360638618469
ابن كلاب العقيلي,4,الكلحبة العرني,0.9991450309753418
ابن كلاب العقيلي,5,سنان المري,0.999068558216095
ابن مالك الحميري,1,الزفيان,0.9948378801345825
ابن مالك الحميري,2,لقيط بن يعمر الإيادي,0.994520902633667
ابن مالك الحميري,3,ابن المضلَّل,0.9944285154342651
ابن مالك الحميري,4,بيهس الغطفاني,0.9937305450439453
ابن مالك الحميري,5,المنخل اليشكري,0.9935722351074219
ابنة أبي الجدعاء,1,امرؤ القيس,0.9840996265411377
ابنة أبي الجدعاء,2,الشنفرى,0.9840043187141418
ابنة أبي الجدعاء,3,المتنخل,0.9834871292114258
ابنة أبي الجدعاء,4,حاجز الأزدي,0.9823877811431885
ابنة أبي الجدعاء,5,علقمة الفحل,0.9822815656661987
ابنة حكيم بن عمرو العبدية,1,الأسلوم اليامي,0.940664529800415
ابنة حكيم بن عمرو العبدية,2,ابن الأطنابة,0.9405437707901001
ابنة حكيم بن عمرو العبدية,3,أسماء التغلبية,0.9399016499519348
ابنة حكيم بن عمرو العبدية,4,ابن عليق الطائي,0.9361520409584045
ابنة حكيم بن عمرو العبدية,5,جبلة بن الحارث,0.9351524710655212
ابو دُاود الإيادي,1,الزفيان,0.9983755350112915
ابو دُاود الإيادي,2,الحارث بن عباد,0.9973883628845215
ابو دُاود الإيادي,3,يزيد الشني,0.9973071217536926
ابو دُاود الإيادي,4,المنخل اليشكري,0.9972938895225525
ابو دُاود الإيادي,5,الحارث المذحجي,0.997269332408905
الأحبش التميمي,1,الخنساء بنت زهير,0.4745579957962036
الأحبش التميمي,2,الدعجاء بنت وهب,0.43839454650878906
الأحبش التميمي,3,الغطمش الضبي,0.42494866251945496
الأحبش التميمي,4,ذو الإصبع العدواني,0.39744096994400024
الأحبش التميمي,5,صيفي الأسلت,0.39739343523979187
الأخضر الفزاري,1,همام التميمي,0.9570444822311401
الأخضر الفزاري,2,أبو عدي النمري,0.9489840865135193
الأخضر الفزاري,3,العجلان بن خليد,0.9476481676101685
الأخضر الفزاري,4,الحارث الحضرمي,0.9429470300674438
الأخضر الفزاري,5,الحكم الفزاري,0.9426147937774658
الأخنس التغلبي,1,البراق,0.9962376356124878
الأخنس التغلبي,2,عنترة بن شداد,0.9959357976913452
الأخنس التغلبي,3,السموأل,0.9959334135055542
الأخنس التغلبي,4,علقمة الفحل,0.9958975911140442
الأخنس التغلبي,5,دريد بن الصمة,0.9958701133728027
الأدير الكلبي,1,هناءة بن مالك الأزدي,0.9324631094932556
الأدير الكلبي,2,الربيع بن أبي الحقيق,0.9082736372947693
الأدير الكلبي,3,شمر الحنفي,0.9068641662597656
الأدير الكلبي,4,أبو الذيال اليهودي,0.894166886806488
الأدير الكلبي,5,الهبل بن عامر,0.89279705286026
الأسعر الجعفي,1,أوس بن حجر,0.9989644885063171
الأسعر الجعفي,2,الطفيل الغنوي,0.9988268613815308
الأسعر الجعفي,3,زيد الخيل الطائي,0.9986436367034912
الأسعر الجعفي,4,قيس بن الحدادية,0.9986426830291748
الأسعر الجعفي,5,عروة بن الورد,0.9985447525978088
الأسفع الأرحبي,1,حاتم الطائي,0.992958128452301
الأسفع الأرحبي,2,جبر المعاوي,0.9925419688224792
الأسفع الأرحبي,3,المتلمس الضبعي,0.9923924207687378
الأسفع الأرحبي,4,المتنخل,0.9922787547111511
الأسفع الأرحبي,5,الحارث الجرمي,0.9922532439231873
الأسلوم اليامي,1,الفند الزماني,0.9882993698120117
الأسلوم اليامي,2,أسماء التغلبية,0.9874860048294067
الأسلوم اليامي,3,حاجز الأزدي,0.9869745969772339
الأسلوم اليامي,4,ابن المضلَّل,0.9866853356361389
الأسلوم اليامي,5,جحيش الهمداني,0.9865767955780029
الأسود التغلبي,1,معقر بن حمار البارقي,0.9954753518104553
الأسود التغلبي,2,عدي بن زيد,0.995344340801239
الأسود التغلبي,3,امرؤ القيس,0.9952179193496704
الأسود التغلبي,4,عنترة بن شداد,0.9951716661453247
الأسود التغلبي,5,الخنساء,0.9950201511383057
الأسود النهشلي,1,ضمرة بن ضمرة,0.9739095568656921
الأسود النهشلي,2,الربيع بن أبي الحقيق,0.9673154950141907
الأسود النهشلي,3,سلامة بن جندل,0.944083571434021
الأسود النهشلي,4,أم الضحاك المحاربية,0.9432849884033203
الأسود النهشلي,5,أبو قيس بن رفاعة,0.9427685141563416
الأشتر الحمامي,1,السلكة أم السليك,0.9666860699653625
الأشتر الحمامي,2,امرؤ القيس السكوني,0.9655275940895081
الأشتر الحمامي,3,الفند الزماني,0.9626802802085876
الأشتر الحمامي,4,ابن زرعة الباهلي,0.9626134037971497
الأشتر الحمامي,5,الأعسر الضبي,0.962469220161438
الأشعث الجاشي,1,جبار الفزاري,0.9999483823776245
الأشعث الجاشي,2,هند الفزارية,0.9995759725570679
الأشعث الجاشي,3,امرؤ القيس الزهيري,0.9994120597839355
الأشعث الجاشي,4,المعان بن روق,0.999148964881897
الأشعث الجاشي,5,السليك بن السلكة,0.9980076551437378
الأشعث بن عابس,1,سلامة بن جندل,0.9128888249397278
الأشعث بن عابس,2,الهبل بن عامر,0.902672529220581
